Weekly U.S. Field Production of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCRFPUS2&f=W
12:00:27 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Field Production of Crude Oil Thousand Barrels per Day
09/11/2020,10900
09/4/2020,10000
08/28/2020,9700
08/21/2020,10800
08/14/2020,10700
08/7/2020,10700
07/31/2020,11000
07/24/2020,11100
07/17/2020,11100
07/10/2020,11000
07/3/2020,11000
06/26/2020,11000
06/19/2020,11000
06/12/2020,10500
06/5/2020,11100
05/29/2020,11200
05/22/2020,11400
05/15/2020,11500
05/8/2020,11600
05/1/2020,11900
04/24/2020,12100
04/17/2020,12200
04/10/2020,12300
04/3/2020,12400
03/27/2020,13000
03/20/2020,13000
03/13/2020,13100
03/6/2020,13000
02/28/2020,13100
02/21/2020,13000
02/14/2020,13000
02/7/2020,13000
01/31/2020,12900
01/24/2020,13000
01/17/2020,13000
01/10/2020,13000
01/3/2020,12900
12/27/2019,12900
12/20/2019,12900
12/13/2019,12800
12/6/2019,12800
11/29/2019,12900
11/22/2019,12900
11/15/2019,12800
11/8/2019,12800
11/1/2019,12600
10/25/2019,12600
10/18/2019,12600
10/11/2019,12600
10/4/2019,12600
09/27/2019,12400
09/20/2019,12500
09/13/2019,12400
09/6/2019,12400
08/30/2019,12400
08/23/2019,12500
08/16/2019,12300
08/9/2019,12300
08/2/2019,12300
07/26/2019,12200
07/19/2019,11300
07/12/2019,12000
07/5/2019,12300
06/28/2019,12200
06/21/2019,12100
06/14/2019,12200
06/7/2019,12300
05/31/2019,12400
05/24/2019,12300
05/17/2019,12200
05/10/2019,12100
05/3/2019,12200
04/26/2019,12300
04/19/2019,12200
04/12/2019,12100
04/5/2019,12200
03/29/2019,12200
03/22/2019,12100
03/15/2019,12100
03/8/2019,12000
03/1/2019,12100
02/22/2019,12100
02/15/2019,12000
02/8/2019,11900
02/1/2019,11900
01/25/2019,11900
01/18/2019,11900
01/11/2019,11900
01/4/2019,11700
12/28/2018,11700
12/21/2018,11700
12/14/2018,11600
12/7/2018,11600
11/30/2018,11700
11/23/2018,11700
11/16/2018,11700
11/9/2018,11700
11/2/2018,11600
10/26/2018,11200
10/19/2018,10900
10/12/2018,10900
10/5/2018,11200
09/28/2018,11100
09/21/2018,11100
09/14/2018,11000
09/7/2018,10900
08/31/2018,11000
08/24/2018,11000
08/17/2018,11000
08/10/2018,10900
08/3/2018,10800
07/27/2018,10900
07/20/2018,11000
07/13/2018,11000
07/6/2018,10900
06/29/2018,10900
06/22/2018,10900
06/15/2018,10900
06/8/2018,10900
06/1/2018,10800
05/25/2018,10769
05/18/2018,10725
05/11/2018,10723
05/4/2018,10703
04/27/2018,10619
04/20/2018,10586
04/13/2018,10540
04/6/2018,10525
03/30/2018,10460
03/23/2018,10433
03/16/2018,10407
03/9/2018,10381
03/2/2018,10369
02/23/2018,10283
02/16/2018,10270
02/9/2018,10271
02/2/2018,10251
01/26/2018,9919
01/19/2018,9878
01/12/2018,9750
01/5/2018,9492
12/29/2017,9782
12/22/2017,9754
12/15/2017,9789
12/8/2017,9780
12/1/2017,9707
11/24/2017,9682
11/17/2017,9658
11/10/2017,9645
11/3/2017,9620
10/27/2017,9553
10/20/2017,9507
10/13/2017,8406
10/6/2017,9480
09/29/2017,9561
09/22/2017,9547
09/15/2017,9510
09/8/2017,9353
