Macrotrends Data Download

Housing Starts Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1959-01-01,1657.000
1959-02-01,1667.000
1959-03-01,1620.000
1959-04-01,1590.000
1959-05-01,1498.000
1959-06-01,1503.000
1959-07-01,1547.000
1959-08-01,1430.000
1959-09-01,1540.000
1959-10-01,1355.000
1959-11-01,1416.000
1959-12-01,1601.000
1960-01-01,1460.000
1960-02-01,1503.000
1960-03-01,1109.000
1960-04-01,1289.000
1960-05-01,1271.000
1960-06-01,1247.000
1960-07-01,1197.000
1960-08-01,1344.000
1960-09-01,1097.000
1960-10-01,1246.000
1960-11-01,1246.000
1960-12-01,1063.000
1961-01-01,1183.000
1961-02-01,1226.000
1961-03-01,1312.000
1961-04-01,1166.000
1961-05-01,1228.000
1961-06-01,1382.000
1961-07-01,1335.000
1961-08-01,1312.000
1961-09-01,1429.000
1961-10-01,1415.000
1961-11-01,1385.000
1961-12-01,1365.000
1962-01-01,1361.000
1962-02-01,1278.000
1962-03-01,1443.000
1962-04-01,1524.000
1962-05-01,1483.000
1962-06-01,1404.000
1962-07-01,1450.000
1962-08-01,1517.000
1962-09-01,1324.000
1962-10-01,1533.000
1962-11-01,1622.000
1962-12-01,1564.000
1963-01-01,1244.000
1963-02-01,1456.000
1963-03-01,1534.000
1963-04-01,1689.000
1963-05-01,1641.000
1963-06-01,1588.000
1963-07-01,1614.000
1963-08-01,1639.000
1963-09-01,1763.000
1963-10-01,1779.000
1963-11-01,1622.000
1963-12-01,1491.000
1964-01-01,1603.000
1964-02-01,1820.000
1964-03-01,1517.000
1964-04-01,1448.000
1964-05-01,1467.000
1964-06-01,1550.000
1964-07-01,1562.000
1964-08-01,1569.000
1964-09-01,1455.000
1964-10-01,1524.000
1964-11-01,1486.000
1964-12-01,1484.000
1965-01-01,1361.000
1965-02-01,1433.000
1965-03-01,1423.000
1965-04-01,1438.000
1965-05-01,1478.000
1965-06-01,1488.000
1965-07-01,1529.000
1965-08-01,1432.000
1965-09-01,1482.000
1965-10-01,1452.000
1965-11-01,1460.000
1965-12-01,1656.000
1966-01-01,1370.000
1966-02-01,1378.000
1966-03-01,1394.000
1966-04-01,1352.000
1966-05-01,1265.000
1966-06-01,1194.000
1966-07-01,1086.000
1966-08-01,1119.000
1966-09-01,1046.000
1966-10-01,843.000
1966-11-01,961.000
1966-12-01,990.000
1967-01-01,1067.000
1967-02-01,1123.000
1967-03-01,1056.000
1967-04-01,1091.000
1967-05-01,1304.000
1967-06-01,1248.000
1967-07-01,1364.000
1967-08-01,1407.000
1967-09-01,1421.000
1967-10-01,1491.000
1967-11-01,1538.000
1967-12-01,1308.000
1968-01-01,1380.000
1968-02-01,1520.000
1968-03-01,1466.000
1968-04-01,1554.000
1968-05-01,1408.000
1968-06-01,1405.000
1968-07-01,1512.000
1968-08-01,1495.000
1968-09-01,1556.000
1968-10-01,1569.000
1968-11-01,1630.000
1968-12-01,1548.000
1969-01-01,1769.000
1969-02-01,1705.000
1969-03-01,1561.000
1969-04-01,1524.000
1969-05-01,1583.000
1969-06-01,1528.000
1969-07-01,1368.000
1969-08-01,1358.000
1969-09-01,1507.000
1969-10-01,1381.000
1969-11-01,1229.000
1969-12-01,1327.000
1970-01-01,1085.000
1970-02-01,1305.000
1970-03-01,1319.000
1970-04-01,1264.000
1970-05-01,1290.000
1970-06-01,1385.000
1970-07-01,1517.000
