Date,Open,High,Low,Close,Volume
2000-08-23,31.95,32.8,31.95,32.05,79385
2000-08-24,31.9,32.24,31.4,31.63,72978
2000-08-25,31.7,32.1,31.32,32.05,44601
2000-08-28,32.04,32.92,31.86,32.87,46770
2000-08-29,32.82,33.03,32.56,32.72,49131
2000-08-30,32.75,33.4,32.1,33.4,79214
2000-08-31,33.25,33.7,32.97,33.1,56895
2000-09-01,33.05,33.45,32.75,33.38,45869
2000-09-05,33.95,33.99,33.42,33.8,55722
2000-09-06,33.99,34.95,33.83,34.95,74692
2000-09-07,34.5,35.5,34.45,35.33,74105
2000-09-08,34.55,34.78,33.4,33.7,88415
2000-09-11,33.8,35.85,33.75,35.1,101518
2000-09-12,35.45,35.5,34.1,34.2,91911
2000-09-13,34.0,34.74,33.5,33.8,94630
2000-09-14,33.78,34.5,33.12,34.1,98068
2000-09-15,34.5,36.1,34.45,35.85,85839
2000-09-18,36.2,37.15,36.15,36.88,59663
2000-09-19,36.55,37.0,36.15,36.5,62731
2000-09-20,37.5,37.8,36.5,37.5,119080
2000-09-21,34.65,35.5,33.35,33.95,110851
2000-09-22,34.0,34.4,32.5,32.65,85083
2000-09-25,31.4,32.1,31.05,31.57,104683
2000-09-26,32.0,32.05,31.4,31.5,67727
2000-09-27,31.95,32.25,31.4,31.5,86160
2000-09-28,31.1,32.42,30.25,30.3,77513
2000-09-29,30.7,30.95,30.15,30.86,57628
2000-10-02,31.45,32.35,31.35,32.15,59618
2000-10-03,32.0,32.32,31.69,32.07,48238
2000-10-04,31.6,31.9,31.3,31.5,58088
2000-10-05,30.85,30.95,30.17,30.65,97911
2000-10-06,30.75,30.96,30.55,30.85,46276
2000-10-09,31.55,31.92,31.23,31.88,51647
2000-10-10,32.25,33.25,32.23,33.15,78801
2000-10-11,33.6,33.7,32.96,33.15,78565
2000-10-12,35.0,37.0,34.8,36.1,116368
2000-10-13,35.93,35.96,34.9,35.05,0
2000-10-16,34.4,34.8,32.7,33.1,60396
2000-10-17,32.7,33.5,32.4,32.95,77365
2000-10-18,33.55,33.85,33.1,33.55,53355
2000-10-19,33.85,34.3,32.7,32.95,55415
2000-10-20,33.3,34.35,32.85,34.3,75683
2000-10-23,33.0,33.8,32.6,33.73,47952
2000-10-24,33.75,34.1,33.3,33.37,69791
2000-10-25,33.5,33.52,32.85,32.96,60419
2000-10-26,33.65,33.82,32.95,33.75,68127
2000-10-27,33.68,33.69,32.65,32.7,68531
2000-10-30,32.75,33.43,32.65,32.81,54388
2000-10-31,32.73,32.88,32.1,32.69,63007
2000-11-01,33.15,33.75,32.82,33.2,71542
2000-11-02,32.75,33.6,32.2,32.54,66821
2000-11-03,32.6,32.9,32.32,32.6,54514
2000-11-06,32.4,32.98,32.1,32.86,63791
2000-11-07,33.05,33.55,32.98,33.4,58379
2000-11-08,33.2,33.5,32.8,33.29,62043
2000-11-09,33.5,34.0,33.3,33.95,64155
2000-11-10,33.7,34.15,33.6,34.09,63519
2000-11-13,34.15,34.55,34.1,34.43,66342
2000-11-14,34.37,34.98,33.92,34.85,78811
2000-11-15,35.4,35.65,34.63,35.6,80892
2000-11-16,35.25,35.55,34.95,35.05,51772
2000-11-17,34.7,35.85,34.6,35.6,79730
2000-11-20,35.5,35.85,35.0,35.22,68250
2000-11-21,35.4,35.7,35.0,35.15,0
2000-11-22,34.9,35.64,34.67,35.4,45768
2000-11-27,35.25,35.76,35.06,35.38,50390
2000-11-28,34.98,35.1,34.15,34.25,70027
2000-11-29,34.25,34.9,33.83,34.63,82486
2000-11-30,34.95,35.1,33.7,33.8,79900
2000-12-01,33.9,34.05,31.8,32.05,96057
2000-12-04,32.38,33.11,30.9,31.3,92267
2000-12-05,31.25,31.42,29.45,29.55,103335
2000-12-06,30.0,30.1,28.2,29.85,96057
2000-12-07,30.05,30.2,29.0,29.36,39650
2000-12-08,28.8,29.25,27.85,28.5,80715
2000-12-11,29.0,29.55,28.75,29.45,77299
2000-12-12,29.6,29.8,28.9,29.69,60269
2000-12-13,29.75,30.0,28.5,28.5,71405
2000-12-14,28.85,29.13,27.51,27.9,70754
2000-12-15,28.35,28.95,28.0,28.85,53224
