Date,Open,High,Low,Close,Volume
2010-09-24,38.6,39.0,37.7,37.9,35600
2010-09-27,38.0,40.0,38.0,39.1,64400
2010-09-28,39.3,39.6,38.0,38.8,29400
2010-09-29,39.3,47.3,39.0,46.2,159400
2010-09-30,47.1,50.8,47.1,49.5,138300
2010-10-01,50.9,50.9,47.5,47.8,68700
2010-10-04,47.4,47.4,44.5,45.4,77500
2010-10-05,46.0,47.2,45.0,47.2,62100
2010-10-06,47.7,49.8,47.4,49.7,78200
2010-10-07,49.9,52.3,49.2,49.7,89400
2010-10-08,49.7,50.9,48.4,50.5,53900
2010-10-11,50.5,50.6,49.3,49.6,30500
2010-10-12,49.3,50.9,47.4,50.8,40000
2010-10-13,51.5,52.6,50.9,51.7,49300
2010-10-14,52.0,52.1,50.8,51.8,45300
2010-10-15,52.2,52.5,48.5,49.7,48400
2010-10-18,49.4,50.7,49.2,50.2,18600
2010-10-19,49.2,49.7,47.8,49.1,40100
2010-10-20,49.3,49.5,47.5,47.6,36000
2010-10-21,47.7,48.7,47.0,47.7,26300
2010-10-22,48.1,49.6,47.7,49.6,39500
2010-10-25,49.6,51.4,49.6,50.6,25800
2010-10-26,50.4,52.4,49.6,52.3,48800
2010-10-27,52.1,52.5,49.3,51.0,35600
2010-10-28,51.4,51.7,48.3,48.4,36100
2010-10-29,48.3,49.9,48.1,49.3,26600
2010-11-01,49.3,50.2,47.3,47.6,30600
2010-11-02,48.5,50.0,47.8,49.4,25800
2010-11-03,49.8,50.2,48.6,49.7,17800
2010-11-04,50.4,51.6,50.4,51.3,39700
2010-11-05,51.2,58.6,51.2,57.4,114600
2010-11-08,57.5,59.3,54.0,56.6,64100
2010-11-09,57.0,58.2,56.0,56.4,38300
2010-11-10,56.5,58.2,54.6,58.2,43700
2010-11-11,57.5,58.2,56.5,57.1,23000
2010-11-12,56.9,57.4,55.6,56.0,25000
2010-11-15,56.1,57.8,55.8,57.0,35600
2010-11-16,56.7,57.7,53.5,54.0,61900
2010-11-17,53.0,53.9,52.0,52.7,32800
2010-11-18,53.5,56.2,53.0,55.8,29500
2010-11-19,56.0,56.0,53.9,54.9,21100
2010-11-22,55.3,56.2,54.3,55.4,25700
2010-11-23,54.6,54.6,53.4,54.1,24700
2010-11-24,54.6,55.8,54.0,55.3,30000
2010-11-26,55.0,57.9,54.5,56.6,41600
2010-11-29,56.4,62.3,56.0,61.7,129300
2010-11-30,61.1,61.7,58.3,59.2,66500
2010-12-01,61.0,61.0,58.1,58.4,54000
2010-12-02,57.9,59.5,57.9,58.9,18000
2010-12-03,59.0,59.7,57.0,59.6,35600
2010-12-06,59.8,61.9,59.0,60.8,38600
2010-12-07,61.5,63.9,60.4,60.6,50600
2010-12-08,60.6,61.9,59.5,60.5,19700
2010-12-09,60.9,61.5,59.7,60.9,22500
2010-12-10,60.6,61.3,59.7,61.2,17000
2010-12-13,61.7,62.2,60.7,60.7,30900
