screen_name,date,tweet,likes,retweets
CollinEatonHC,2020-09-24 13:44:47,"Potential partners have hesitated to move ahead with Nikola amid the scrutiny, but a deal could still be reached, people familiar with the matter said https://t.co/kdEdI0Ci1t via @WSJ",0,0
CollinEatonHC,2020-09-10 14:16:20,The recent burst of volatility ended a stretch of calm in the oil market. Traders are using options markets to bet more drama is to come.  https://t.co/vxCOG30c8U via @WSJ,1,0
CollinEatonHC,2020-09-08 22:41:18,"Oil prices slumped to their lowest level in nearly three months, under pressure from a stalling recovery in demand and planned OPEC production expansions https://t.co/ArdCWzRmnL via @WSJ",4,2
CollinEatonHC,2020-09-04 19:59:58,Japanese conglomerate led by billionaire Masayoshi Son placed billions in options bets on fast rising tech stocks  https://t.co/pXbzB4Y0ur via @WSJ,0,0
CollinEatonHC,2020-09-04 19:42:39,"From Lake Maracaibo in the west to the Orinoco oil belt in the east, abandoned wells rust in the sun as looters scavenge the metal. The last drilling rig still working in Venezuela shut down in August. Read this story, via @kejalvyas and Ginette González https://t.co/WFYHSLVuKe",4,3
CollinEatonHC,2020-08-26 00:21:08,"Must read via @RyanDezember: Thanks to California’s carbon-emission regulations, there is a flourishing market in tree preservation. It is about to get a lot bigger.  https://t.co/MB69mc6QWt via @WSJ",6,0
CollinEatonHC,2020-08-17 18:54:07,"Fund managers are seeing the market for raw materials as a hedge against inflation, via @josephttwallace  https://t.co/Mcp6p9iUPP via @WSJ",2,0
CollinEatonHC,2020-08-03 16:21:49,"U.S. fuel makers ran below capacity in the second quarter in a preview of the challenges they are likely to face as the world transitions away from fossil fuels, via @rfelliott  https://t.co/tWGZmCPIzs via @WSJ",1,0
CollinEatonHC,2020-08-02 17:00:22,"“In the oil-and-gas industry, we tend to be hesitant to change.” 

After cutting thousands of jobs during the pandemic, the oil industry is accelerating its embrace of remote drilling and fracking, changes that will reshape its workforce for good https://t.co/twM1tIu6tq via @WSJ",22,17
CollinEatonHC,2020-07-30 14:59:10,Royal Dutch Shell lost $18.4 billion in the second quarter as oil demand tanked. https://t.co/NIpqqi9pNq via @WSJ,0,0
CollinEatonHC,2020-07-30 13:16:09,"The U.S. economy contracted by almost a third in the April-June period, the steepest drop in records dating to 1947. And a recovery in the jobs market shows signs of slowing.  https://t.co/9HinkNcvMy via @WSJ",1,0
CollinEatonHC,2020-07-26 15:56:16,Debate in Texas over how to combat mounting Covid-19 cases has left Gov. Greg Abbott bouncing between policies and appeasing no one https://t.co/ckeuJNCE0Z,0,0
CollinEatonHC,2020-07-24 15:21:31,Courts in Houston are overloaded with eviction filings after local moratorium expired in May; end of federal protections could lead to more  https://t.co/S981xnhlrP via @WSJ,0,2
CollinEatonHC,2020-07-24 14:56:58,"Schlumberger is cutting about 21,000 jobs, about one-fifth of its workforce, and has shut scores of facilities as it accelerates a restructuring plan to position itself for a smaller-scale U.S. market. Its rival Halliburton has also cut thousands of jobs. https://t.co/J4vACD6JYE",11,11
CollinEatonHC,2020-07-22 10:57:23,"The U.S. ordered the abrupt closure of China’s consulate in Houston, a dramatic escalation in bilateral tensions  https://t.co/iI9h7IAmLe via @WSJ",0,1
CollinEatonHC,2020-07-15 14:51:33,"Some organizations have pushed ahead with plans to reopen their workplaces as Covid-19 cases climb nationwide, leaving many employees on edge - w/ @KonradPutzier  https://t.co/Ed9LRk2oX4 via @WSJ",0,0
CollinEatonHC,2020-07-07 13:06:17,"The international trade in liquefied natural gas, or LNG, has collapsed, squeezing an important outlet for U.S. shale gas, via @RyanDezember  https://t.co/1RS63UkMBo via @WSJ",24,9
CollinEatonHC,2020-07-06 16:56:51,"A judge has ordered the Dakota Access pipeline, which has been carrying oil since 2017, to shut until a key environmental approval is done correctly https://t.co/uO4hI1MsY8 via @WSJ",0,1
CollinEatonHC,2020-07-06 13:18:19,"U.S. crude supply is falling at its quickest pace ever, easing a global oil glut and spurring a swift recovery in fuel prices.  via @AmrithRamkumar  https://t.co/i5lM7Sjc1D via @WSJ",9,6
CollinEatonHC,2020-07-03 04:32:21,A missing $2 billion. A former senior executive who can’t be located. The collapse of Wirecard has left lots of questions. https://t.co/Sni0QYIESB,1,0
CollinEatonHC,2020-06-30 14:22:27,Some accountants have filed an SEC complaint saying Exxon should write down the value of shale driller XTO Energy. Exxon says it is in compliance with standards. Via ⁦@cmatthews9⁩  https://t.co/L9RipBNSq5,2,1
CollinEatonHC,2020-06-30 14:22:02,Shell is writing down the value of its assets by up to $22 billion because of lower energy prices following the demand-sapping coronavirus pandemic https://t.co/kdLNdLLcEV,2,3
CollinEatonHC,2020-06-28 23:26:15,"He’s the kind of worker one might expect to have to stay plugged in at an office. But the 30-year old petroleum engineer at Halliburton said all he needed was a good internet connection. That, and home-brewed espresso roast, for the ol’ 12hr shift.",3,0
CollinEatonHC,2020-06-28 23:21:02,"As America shut down in March, Aniket Sanyal packed up four computer monitors from his office in Houston. Since then, he has helped drill a dozen oil wells in the North Sea, the Middle East and beyond—all while working in his home office.",3,0
CollinEatonHC,2020-06-28 22:29:20,"Chesapeake’s breakneck growth left it highly leveraged, and it was slower than many fracking peers to pivot to more lucrative oil from gas. The result was a painful fall in recent years. Via ⁦@rfelliott⁩  https://t.co/wgI9IYCE9i",3,2
CollinEatonHC,2020-06-28 22:28:23,"As virus cases rise in Houston, Shell and Lyondell are sending hundreds who had returned to offices back home to ride it out. Halliburton and TechnipFMC are delaying plans to bring more back. BP, Chevron &amp; Total have kept most people home, without firm back-to-work dates.",8,3
CollinEatonHC,2020-06-28 22:14:39,Texas got back to work faster than most states. It now serves as a warn­ing to the na­tion: re­open­ing of­fices and other busi­nesses may be messier and more prone to dis­rup­tion than many imag­ined. https://t.co/o5jhZ5ZefA,6,1
CollinEatonHC,2020-06-25 20:16:33,Texas reopening on pause. The rise in coronavirus cases around the U.S. is forcing some businesses to re-examine their plans to move people back into offices https://t.co/Bv0xcOsYn7 via @WSJ,1,0
CollinEatonHC,2020-06-24 22:48:47,"Apple and Disney are among businesses grappling with whether to close, stay open or find some in between as the number of cases of Covid-19 rises in dozens of states  https://t.co/q6T1q0c3cu via @WSJ",2,1
CollinEatonHC,2020-06-16 16:15:52,Insights into how people catch Covid-19 https://t.co/GzNhx7C4vj via @WSJ,3,4
CollinEatonHC,2020-06-15 12:49:27,"Lenders cut shale drillers’ lifelines as the industry faces liquidity crunch, via @cmatthews9 @AndrewScurria   https://t.co/TOmxdNH1a8 via @WSJ",1,3
CollinEatonHC,2020-06-15 12:48:06,BP is writing down as much as $17.5 billion of its assets and might leave some of its oil and gas in the ground because of lower energy prices and weakened demand amid the global crisis caused by the novel coronavirus. https://t.co/DUZKBJOdeT,15,10
CollinEatonHC,2020-06-10 14:29:46,"‘Once a lion, always a lion’ — In Houston, friends and fellow alumni of Jack Yates High School honor George Floyd https://t.co/1r63nm2Ug5 via @WSJ",0,0
CollinEatonHC,2020-06-09 14:16:28,"Two of America's largest shale plays will take years to reach pre-virus levels again, forecasters and execs say. ""Things change substantially when you move from $60 to $30 [a barrel] or below,” says the former chief exec of an Eagle Ford driller. https://t.co/xiM3YuRt5N via @WSJ",11,4
CollinEatonHC,2020-06-08 21:49:25,The movement to reform policing appeared to gain traction with lawmakers after nearly two weeks of protests sparked by the killing of George Floyd https://t.co/DfY2lhp1kR via @WSJ,0,0
CollinEatonHC,2020-06-07 15:28:43,"American oil producers are reopening the spigots, complicating the crude market’s recovery - via ⁦@rfelliott⁩  https://t.co/jniqNxCDg1",26,13
CollinEatonHC,2020-05-28 15:20:26,A recent spate of coronavirus infections show that oil and gas work sites remain vulnerable to the virus. https://t.co/pk2obuJDJz via @WSJ,12,3
CollinEatonHC,2020-05-28 13:20:42,@dan_graeber possibly,3,0
