screen_name,date,tweet,likes,retweets
JKempEnergy,2020-09-27 11:34:04,@A_Wakelam @RoutledgeHist Thanks Alex. I’ll look out for them. Or wait long enough for a second-hand version in 20 years 🙂,1,0
JKempEnergy,2020-09-27 11:11:59,@A_Wakelam @RoutledgeHist Best of luck. Sounds very interesting!,1,0
JKempEnergy,2020-09-27 11:11:42,"@A_Wakelam @RoutledgeHist Thanks Alex. I understand the publishing model. Your book sounds really interesting, potentially to a wider audience, but at that price point is only affordable for uni libraries. At half the price I would buy in myself. I buy lots of academic books but generally not above £60",1,0
JKempEnergy,2020-09-27 10:25:07,"@A_Wakelam @RoutledgeHist ""Credit and Debt"" sounds very interesting, but as a non-institutional reader without access to a university library, £120 is very steep. Will there be a paperback version later?",0,0
JKempEnergy,2020-09-26 22:41:37,"@AdamJKucharski If the strategy is to maintain strict controls until we have a vaccine, we need some indication of how likely it is to deploy one within a reasonable time frame. This seems key issue. Based on past experience and incoming evidence how confident are you?",3,0
JKempEnergy,2020-09-26 22:39:49,"@AdamJKucharski Adam, I’ve asked Jeremy what his % estimate for deployment of reasonably effective vaccine within six months - one that would be effective enough to significantly relax transmission controls. I’d be interested in your assessment too.",2,0
JKempEnergy,2020-09-26 22:35:03,"@JeremyFarrar Jeremy, you’re right about tough choice we face. A key part of that decision is how quickly a vaccine can be deployed. What is your % estimate of probability of reasonably effective vaccine within six months, one that would enable significant relaxation of transmission controls?",0,0
JKempEnergy,2020-09-25 18:41:55,"BRITAIN’s Strategic Toilet Roll Reserve should carry enough rolls to cover 90 days requirements, up to 1 billion rolls, ready for distribution by Amazon to every household in the event of an emergency",4,0
JKempEnergy,2020-09-25 18:38:23,BRITAIN needs a Strategic Toilet Roll Reserve to help cope with future emergencies; a Toilet Roll Information Administration to compile statistics; and an International Toilet Roll Agency to mandate conservation measures,25,6
JKempEnergy,2020-09-25 18:36:24,"BRITAIN’s Great Toilet Roll Crisis is re-emerging, as households stock up, drawing down toilet roll inventories from the supply chain. So far the drawdown is mostly toilet roll pasta and some cans, and not as acute as in March/April",26,8
JKempEnergy,2020-09-25 15:15:03,"IF YOU would like to receive a free daily digest of best in energy news + my own research notes, you can add your email to the circulation list here: https://t.co/fDZgNWCrDB https://t.co/toxV1RDZki",2,1
JKempEnergy,2020-09-25 12:58:51,U.S. refiners bringing diesel stocks under control: https://t.co/efMfnLCVci https://t.co/Z5BaFvTQB3,14,11
JKempEnergy,2020-09-25 11:44:24,"@Notyettrending1 That's not a criticism of my fantastic history teachers. But school history is inevitably somewhat abbreviated and superficial. The real history is wider, more complex, and much more interesting",0,0
JKempEnergy,2020-09-25 11:43:15,"@Notyettrending1 The history taught in schools is mostly about nation-building, what politicians and the wider establishment want people to think happened, or what they wish had happened, rather than what did happen. Most of my adult life has been spent unlearning my school history lessons",2,0
JKempEnergy,2020-09-25 11:34:35,@Notyettrending1 I am half way through and have enjoyed it so far and learned a lot. Skip the rather dull and hard to read front-matter and go straight to Chapter 1. Edgerton is trying to challenge some lazy simplifications and myths by forcing people to think about the evidence.,1,0
JKempEnergy,2020-09-25 08:23:44,British readers and those with a very good working knowledge of British history already will love this book. Non-Brits may struggle because it presumes a lot of pre-knowledge of names and events,4,0
JKempEnergy,2020-09-25 08:22:01,"“RISE AND FALL of the British Nation” (Edgerton, 2018), a revisionist history of Britain in the 20th century and its switch from internationalism before 1945 to a more national orientation afterwards. Compelling and well-written. Highly recommended https://t.co/ZJuYPHY3Kv https://t.co/1Eq9ExgVqQ",14,3
JKempEnergy,2020-09-25 06:45:16,POPULISM and loneliness: https://t.co/Rk3E7bLqYq,10,3
JKempEnergy,2020-09-24 14:48:11,"IF YOU would like to receive a free daily digest of best in energy news + my own research notes, you can add your email to the circulation list here: https://t.co/fDZgNWCrDB https://t.co/A1tKJ7Mqlu",1,0
JKempEnergy,2020-09-24 09:33:28,HOW LONG have you got left? National life tables for the United Kingdom updated: https://t.co/ELwg9HkRjl,3,0
JKempEnergy,2020-09-23 22:34:45,"Could we solve the problem by making Kent part of France - like Calais was once ruled by the King of England as the King of France? Either give the county to the French in exchange for the Riviera, or make the whole county part of French customs territory: https://t.co/sug676gWmj",5,1
JKempEnergy,2020-09-23 17:00:26,CHINA's national security and carbon-neutral target: https://t.co/ZkS7PwTcZZ https://t.co/5hg2fSgvvw,8,3
JKempEnergy,2020-09-23 10:42:43,"With European gasoil margins increasingly unprofitable, refineries are likely to reduce crude processing and some are likely to close permanently and convert into terminals",11,2
JKempEnergy,2020-09-23 10:42:00,"EUROPEAN GASOIL refining margins have slipped well below $3 per barrel (based on futures prices for deliveries before the end of the year), probably not enough to cover their full costs (energy, catalysts, services, labour and capital): https://t.co/j7TuYAuXUb",20,15
JKempEnergy,2020-09-22 11:27:07,"@NigelStevenson5 British-style rules for banks, formerly known as ""light touch"" regulation ....",2,0
JKempEnergy,2020-09-21 16:05:35,@akpres I genuinely don't mind the critical emails. And I generally reply with some version of that post. But I thought it would save time to draft a formal reply and put it on the record to refer to in future. I think 99% people appreciate the distinction between analysis and advocacy!,4,0
JKempEnergy,2020-09-21 15:24:21,ENERGY ANALYSIS - some thoughts. I regularly get critical emails from people who think I am too pro-oil or pro-renewables. So I thought I would put on record my own approach to energy systems and how to analyse them: https://t.co/cYpeF7041N,216,39
JKempEnergy,2020-09-21 14:34:32,"IF YOU would like to receive a free daily digest of best in energy news + my research notes, you can add your email to the circulation list here: https://t.co/fDZgNWCrDB https://t.co/Uat83peLZ9",5,2
JKempEnergy,2020-09-21 13:30:08,HEDGE FUND oil selling slowed ahead of Saudi warning: https://t.co/MVORcQ8275 https://t.co/CD1EhhP4QZ,6,2
JKempEnergy,2020-09-21 01:58:41,CORONAVIRUS - zero target or learning to live with it? https://t.co/RAswARdNdz,6,0
JKempEnergy,2020-09-20 04:36:47,EPIDEMIC death toll is far wider than those who die directly from coronavirus: https://t.co/exFWKwWX6M,10,3
JKempEnergy,2020-09-20 04:18:21,CLIMATE CHANGE - scepticism and parallels with the tobacco industry: https://t.co/V4qfdXtSjJ,3,1
