screen_name,date,tweet,likes,retweets
TheAroraReport,2020-09-27 13:31:32,CANARY IN THE COAL MINE BUT TECH STOCKS LOSE DOWNWARD MOMENTUM https://t.co/weCykLXnJI #stockmarket #0 #dia #djia,2,0
TheAroraReport,2020-09-27 12:34:13,"My Friends,  What do you think about the U.S acting to slow China's ambitions by putting restrictions on its top semiconductor company $smicy? Look at the chart. We will do a post  https://t.co/6UdsPtT6dJ $amat $lrcx $klac
#stockmarket #stockstowatch #investors #investing. https://t.co/Yi9coURQJM",1,1
TheAroraReport,2020-09-27 12:13:00,"Good Morning, Friends!",3,0
TheAroraReport,2020-09-26 21:09:34,"They are Celebrating America.
#SaturdayVibes #SaturdayThoughts #SaturdayMotivation https://t.co/JhRMZOfezD",3,0
TheAroraReport,2020-09-26 18:47:37,There are two many variables that can not be modeled due to the Supreme Court issue at thus time beyond s few days. We assess it everyday based on New data in the Morning Capsule and give you signals. #djia $qqq #stockstowatch  #investing  #investors  #stockmarket https://t.co/HOuYiExACO,2,0
TheAroraReport,2020-09-26 18:43:56,"Enjoying the boat parade from my deck.
#SaturdayMotivation #SaturdayVibes #SaturdayThoughts 
#boat https://t.co/maXQBYG11Y",6,0
TheAroraReport,2020-09-26 18:20:28,"Enjoying the boat parade from my deck.
#SaturdayMotivation #SaturdayVibes #SaturdayThoughts 
#boat https://t.co/TOj2qDSjuD",3,0
TheAroraReport,2020-09-26 17:51:19,"There are several stock opportunities  in hydrogen power. 
$PLUG  is in the Arora portfolio. Be sure to follow the buy zones, stop zones, recommended quantity etc. Take a FREE 30 day trial https://t.co/6UdsPtT6dJ
#stockmarket #stockstowatch #investors #investing  $djia $spx $qqq https://t.co/oznmtEjPDZ",1,0
TheAroraReport,2020-09-26 17:43:25,"@mbrushstocks Excellent, Michael!",0,0
TheAroraReport,2020-09-26 14:11:20,SHORT SQUEEZE TAKES HOLD https://t.co/n3OxV1y7Up #stockmarket #0 #djia #gld #gold #markets #ndx #oil #qqq #silver,0,0
TheAroraReport,2020-09-26 13:57:02,"Hi Karen, $GOOG  has fallen in the Arora Buy Zone. Subscribers who have followed Arora Buy Zones have made a fortune. Please be sure to read Trade Management Guidelnes before acting on the buy zone.#google #stockmarket #stockstowatch #investors #investing $djia $qqq https://t.co/YmUrIPnxl6",1,1
