Date,Open,High,Low,Close,Volume
2007-03-01,23.8,23.86,23.8,23.84,4600
2007-03-02,23.88,24.11,23.82,23.83,2400
2007-03-05,23.97,23.99,23.96,23.98,1100
2007-03-06,23.96,23.96,23.96,23.96,400
2007-03-07,23.94,23.94,23.86,23.86,2800
2007-03-08,24.01,24.01,23.98,23.98,42200
2007-03-09,24.06,24.06,24.02,24.02,700
2007-03-12,23.94,23.94,23.94,23.94,200
2007-03-13,23.86,23.88,23.86,23.88,1100
2007-03-14,23.9,23.9,23.83,23.83,2000
2007-03-15,23.83,23.83,23.83,23.83,0
2007-03-16,23.73,23.76,23.73,23.74,4000
2007-03-19,23.74,23.86,23.74,23.86,2200
2007-03-20,23.75,23.75,23.72,23.72,1400
2007-03-21,23.65,23.65,23.65,23.65,200
2007-03-22,23.67,23.67,23.48,23.65,17500
2007-03-23,23.74,23.8,23.74,23.8,4100
2007-03-26,23.78,23.78,23.72,23.72,3100
2007-03-27,23.74,23.74,23.71,23.71,200
2007-03-28,23.67,23.72,23.67,23.71,3400
2007-03-29,23.74,23.74,23.74,23.74,100
2007-03-30,23.67,23.67,23.66,23.66,200
2007-04-02,23.7,23.72,23.64,23.72,4100
2007-04-03,23.76,23.76,23.75,23.75,5200
2007-04-04,23.72,23.72,23.72,23.72,500
2007-04-05,23.65,23.65,23.65,23.65,1100
2007-04-09,23.8,23.83,23.79,23.8,22700
2007-04-10,23.71,23.74,23.7,23.72,30500
2007-04-11,23.72,24.11,23.69,23.72,172000
2007-04-12,23.65,23.65,23.58,23.58,8900
2007-04-13,23.54,23.59,23.52,23.57,8300
2007-04-16,23.57,23.57,23.47,23.47,22600
2007-04-17,23.48,23.48,23.44,23.46,23600
2007-04-18,23.41,23.44,23.35,23.44,18300
2007-04-19,23.43,23.44,23.4,23.44,26800
2007-04-20,23.44,23.44,23.32,23.35,24200
2007-04-23,23.51,23.51,23.44,23.47,29300
2007-04-24,23.47,23.51,23.39,23.44,42300
2007-04-25,23.43,23.44,23.39,23.41,7600
2007-04-26,23.51,23.52,23.48,23.5,40800
2007-04-27,23.39,23.48,23.33,23.43,55800
2007-04-30,23.4,23.42,23.36,23.38,6300
2007-05-01,23.39,23.53,23.39,23.52,2500
2007-05-02,23.53,23.55,23.46,23.54,21300
2007-05-03,23.54,23.63,23.54,23.57,13100
2007-05-04,23.52,23.54,23.44,23.48,90800
2007-05-07,23.48,23.63,23.48,23.54,52500
2007-05-08,23.54,23.62,23.54,23.61,147000
2007-05-09,23.56,23.64,23.56,23.64,9700
2007-05-10,23.66,23.73,23.64,23.66,15000
2007-05-11,23.69,23.7,23.65,23.68,24100
2007-05-14,23.62,23.67,23.28,23.66,15400
2007-05-15,23.68,23.68,23.52,23.59,31100
2007-05-16,23.65,23.7,23.56,23.69,13000
2007-05-17,23.75,23.76,23.73,23.75,8100
2007-05-18,23.74,23.75,23.69,23.7,10400
2007-05-21,23.79,23.81,23.76,23.77,16400
2007-05-22,23.78,23.79,23.75,23.78,7800
2007-05-23,23.72,23.77,23.48,23.76,9900
2007-05-24,23.75,23.8,23.75,23.8,6100
2007-05-25,23.79,23.79,23.74,23.78,10700
2007-05-29,23.7,23.79,23.68,23.79,9600
2007-05-30,23.79,23.84,23.76,23.83,22600
2007-05-31,23.75,23.79,23.75,23.79,2400
2007-06-01,23.83,23.85,23.77,23.8,12500
2007-06-04,23.7,23.7,23.69,23.7,8000
2007-06-05,23.63,23.67,23.48,23.64,95700
2007-06-06,23.71,23.75,23.36,23.67,54500
2007-06-07,23.75,23.83,23.73,23.83,16300
2007-06-08,23.95,23.95,23.44,23.9,8400
2007-06-11,23.95,23.98,23.92,23.96,9700
2007-06-12,23.98,24.01,23.93,24.01,156700
2007-06-13,24.07,24.07,24.03,24.06,10200
2007-06-14,24.07,24.08,24.03,24.08,12100
2007-06-15,24.01,24.03,23.95,23.95,52500
2007-06-18,23.93,24.01,23.92,23.92,54900
2007-06-19,23.97,23.97,23.93,23.93,2500
2007-06-20,23.91,27.65,22.99,23.02,4300
2007-06-21,23.96,24.07,23.9,23.96,3300
2007-06-22,23.86,23.91,23.82,23.82,46800
2007-06-25,23.87,23.91,23.86,23.89,9400
2007-06-26,23.85,23.88,23.8,23.86,17800
2007-06-27,23.87,23.89,23.87,23.89,2400
2007-06-28,23.84,23.89,23.84,23.89,5900
2007-06-29,23.79,23.86,23.75,23.75,3600
2007-07-02,23.71,23.72,23.5,23.63,15800
2007-07-03,23.59,23.68,23.59,23.59,6500
2007-07-05,23.68,23.7,23.68,23.7,12100
2007-07-06,23.68,23.68,23.65,23.65,500
2007-07-09,23.66,23.69,23.65,23.66,8800
2007-07-10,23.58,23.58,23.5,23.5,4900
2007-07-11,23.46,23.5,23.46,23.47,4900
2007-07-12,23.44,23.46,23.43,23.44,73000
2007-07-13,23.44,23.45,23.44,23.45,600
2007-07-16,23.44,23.46,23.42,23.44,3800
2007-07-17,23.44,23.45,23.44,23.44,700
2007-07-18,23.39,23.43,23.39,23.43,1100
2007-07-19,23.39,23.42,23.38,23.42,11200
2007-07-20,23.37,23.38,23.35,23.38,600
2007-07-23,23.39,23.43,23.38,23.43,16800
2007-07-24,23.37,23.39,23.24,23.24,18100
2007-07-25,23.43,23.47,23.43,23.44,6100
2007-07-26,23.44,23.44,23.33,23.34,3000
2007-07-27,23.52,25.3,23.52,23.53,26500
2007-07-30,23.55,23.57,23.55,23.57,5200
2007-07-31,23.55,23.55,23.2,23.53,6600
2007-08-01,23.59,23.59,23.49,23.54,11200
2007-08-02,23.55,23.58,23.52,23.58,900
2007-08-03,23.47,23.47,23.36,23.36,20100
2007-08-06,23.37,23.41,23.37,23.41,3300
2007-08-07,23.42,23.49,23.42,23.47,13700
2007-08-08,23.38,23.42,23.38,23.41,4300
2007-08-09,23.59,23.59,23.56,23.59,6200
2007-08-10,23.62,23.63,23.59,23.61,40500
2007-08-13,23.63,23.7,23.6,23.67,25400
2007-08-14,23.75,23.83,23.75,23.83,39600
2007-08-15,23.92,23.96,23.88,23.93,26800
2007-08-16,23.88,23.91,23.86,23.86,30800
2007-08-17,23.53,23.86,23.53,23.8,16300
2007-08-20,23.85,23.86,23.82,23.86,13300
2007-08-21,23.85,23.86,23.85,23.86,6800
2007-08-22,23.81,23.84,23.8,23.8,21200
2007-08-23,23.79,23.79,23.75,23.76,1200
2007-08-24,23.69,23.69,23.61,23.65,52000
2007-08-27,23.62,23.64,23.62,23.64,2500
2007-08-28,23.63,23.64,23.61,23.64,17200
2007-08-29,23.64,23.65,23.61,23.62,3900
2007-08-30,23.7,23.72,23.64,23.72,27500
2007-08-31,23.61,23.7,23.61,23.66,5700
2007-09-04,23.76,23.77,23.7,23.7,4700
2007-09-05,23.61,23.62,23.59,23.62,900
2007-09-06,23.64,23.64,23.54,23.55,40600
2007-09-07,23.43,23.44,23.41,23.42,3000
2007-09-10,23.41,23.42,23.37,23.39,49600
2007-09-11,23.43,23.43,23.36,23.42,3500
2007-09-12,23.35,23.38,23.28,23.3,8200
2007-09-13,23.38,23.4,23.37,23.37,2500
2007-09-14,23.37,23.43,23.37,23.43,2400
2007-09-17,23.39,23.44,23.39,23.41,2500
2007-09-18,23.44,23.45,23.27,23.33,10700
2007-09-19,23.33,23.38,23.31,23.32,28000
2007-09-20,23.19,23.2,23.07,23.15,53900
2007-09-21,23.18,23.19,23.15,23.16,7500
2007-09-24,23.12,23.16,23.11,23.15,33800
2007-09-25,23.06,23.1,23.03,23.09,27800
2007-09-26,23.12,23.95,23.1,23.17,17700
