screen_name,date,tweet,likes,retweets
boonepickens,2020-09-11 17:32:24,"Tune in now for a livestream of the dedication of T. Boone Pickens’ childhood home, the Holdenville House, at his final resting place at Karsten Creek Golf Club in Stillwater, OK. #okstate #RememberingBoone https://t.co/xni3tv9wwg https://t.co/HDDeEqtuMH",16,3
boonepickens,2020-09-10 23:34:56,"Tomorrow is the one-year anniversary of the passing of the legendary T. Boone Pickens. We invite you to a livestream at 12:32 pm CT for the official opening of his childhood home, the Holdenville House, which has been relocated to Stillwater, OK near #okstate. #RememberingBoone https://t.co/jbRUGIm3pL",120,24
boonepickens,2020-01-09 21:37:41,Grateful for the impactful summary of Boone’s final letter @TheRetirementManifesto #spreadtheword – Jay Rosser https://t.co/1TJciQucPb,37,10
boonepickens,2020-01-08 21:42:07,Thank you for this meaningful nod to Boone. He was proud to be associated with such an impactful organization as @NFFNetwork The highlight at the end should bring a chuckle to everyone at #okstate -- Jay Rosser  https://t.co/VAKyTlJnSm,96,12
boonepickens,2019-10-18 11:10:10,.@FortuneMagazine revisits some of T. Boone Pickens' most memorable quotes throughout the years. #RememberingBoone https://t.co/b0ZOlz46P0,53,5
boonepickens,2019-10-15 15:13:11,The ever-opinionated Boone Pickens would opine on this topic for hours. His advocacy on behalf of America’s shareholders will be a lasting legacy. https://t.co/DaBRI65fL5 https://t.co/byGoJ4RDIk,25,4
boonepickens,2019-10-09 18:22:53,"In one of his last acts, T. Boone Pickens sold his conference room table to Gary &amp; Claudia Humphreys who donated the set to #okstate. It will be lent to OK governor’s Cabinet Room for the next decade where it will continue to host important conversations.
https://t.co/ANdzhzSHsC",192,18
boonepickens,2019-10-04 16:35:43,"""This is someone who knew what failure looked like, and still put his plan together, worked his plan, and made it a success. That's his legacy for me and something that anybody of any walk of life can use as a model to be more successful."" @TMFVelvetHammer https://t.co/cgGvcruBjR",27,8
boonepickens,2019-10-01 01:25:42,@SpenceSanders Good question.,119,6
boonepickens,2019-09-30 12:35:51,Fellowship Dallas Pastor Kurt Pressler opened yesterday's service by talking about T. Boone Pickens and designing a life of intentional investment. #RememberingBoone https://t.co/N7y94hOzdO,26,1
boonepickens,2019-09-27 16:53:22,A touching video from @OColly about the life and times of the greatest #okstate cowboy: T. Boone Pickens. #RememberingBoone https://t.co/NcqdK2xzTN,77,10
boonepickens,2019-09-25 20:00:39,Tune in now as the #okstate community celebrates the life of T. Boone Pickens. Watch live at https://t.co/LQ6ThL5AiD. #RememberingBoone https://t.co/zQKvUqzk3r,54,6
