screen_name,date,tweet,likes,retweets
chrisnelder,2020-09-27 03:02:08,"@agelston Wow, thanks!",0,0
chrisnelder,2020-09-27 01:45:06,@MGreczyn OVER IT,0,0
chrisnelder,2020-09-27 01:36:06,"As a weather geek, I love this visualization because it shows the whole weather systems, not just slices. More of this please! https://t.co/l9Te32Wxzj",25,1
chrisnelder,2020-09-27 01:32:04,🤢 https://t.co/XQCrEAtvse,0,0
chrisnelder,2020-09-27 00:10:40,"Great story! I loved seeing Adam play at the Diamond Belle. He really knows his stuff and didn’t even hesitate when I requested some oldies that my grandma used to play, like Stars Fell on Alabama and Darktown Strutters Ball. I admire all the musicians stayin’ alive out there! https://t.co/Pp25SBX94D",3,0
chrisnelder,2020-09-26 19:52:39,@juskewitch But they are le tired. https://t.co/fCm9j7Tgwa,1,0
chrisnelder,2020-09-26 16:59:33,“I got massively over-stressed and realized I was paying out-of-state tuition for what was basically a worse version of Khan Academy” https://t.co/Zih2s1sdl1,16,2
chrisnelder,2020-09-25 22:49:09,"@johnffarrell @joshdr83 @russellgold @FToddDavidson Indeed we do. Plus we'll need to build more capacity to electrify space heating, water heating, etc. All in good time. For now, here's a quick &amp; dirty worst-case calc: What if all PHEVs in CA charged on Level 2 at the same time? cc: @CostaSamaras https://t.co/cRNd7W37Sq",3,0
chrisnelder,2020-09-25 22:29:32,@agelston @joshdr83 I love explaining to laypeople why all fossil fuels are technically renewable. But they will have a wait a minute...,2,0
chrisnelder,2020-09-25 22:22:23,"@drvox @ZaneSelvans @TheEnergyCraig @kinesisergo @ErgoDoxEZ Huh. Well it's certainly as loud as a mechanical keyboard! In addition to the great ergonomics and the fact that I have lived on it for decades with zero pain or carpal tunnel, I didn't want to relearn the layout for the numeric and navigational keys if I switched.",0,0
chrisnelder,2020-09-25 20:45:05,@drvox @ZaneSelvans @TheEnergyCraig @kinesisergo @ErgoDoxEZ It isn't? It sure feels like it is. What is it then?,0,0
chrisnelder,2020-09-25 20:18:39,Mission accomplished. https://t.co/p1BpL0w6n4,15,4
chrisnelder,2020-09-25 20:15:56,@drvox @ZaneSelvans @TheEnergyCraig @kinesisergo @ErgoDoxEZ I don't get it. You want an ergonomic mechanical keyboard. That's what the 59758 is. Why not just go back to it?,0,0
chrisnelder,2020-09-25 20:03:09,"@ZaneSelvans @drvox @TheEnergyCraig @kinesisergo @ErgoDoxEZ There's a reason why I have used solely this specific model of keyboard since Microsoft introduced it circa 1994. I've burned through three of them in 25 years, but I found old stock on eBay. I have four more in reserve in the garage. https://t.co/bxbsscCqnJ",2,0
chrisnelder,2020-09-25 16:29:36,"@agelston 🤣 You really need to write something about your experience, along the lines of this classic. Seriously. https://t.co/rq0HcDFr3N",10,2
chrisnelder,2020-09-25 05:09:01,"@EricGimon @apoorv_bh89 @ChazTeplin @michaelhenchen Oh man you just reminded me that waaay bacik when, somewhere along my sordid, 19-rental history, I actually had a place where the previous tenant had randomly placed phosphorescent stars on the ceiling over the bed. Totally forgot about it until now.",2,0
chrisnelder,2020-09-25 05:07:42,@ChazTeplin @apoorv_bh89 @michaelhenchen Is that a lot?,0,0
chrisnelder,2020-09-25 04:59:31,"@apoorv_bh89 @ChazTeplin aCTUALLY, on the advice of @michaelhenchen, I am ""pre-lighting"" my room at night to take advantage of off-peak pricing, and the room just glows throughout the day.",9,0
chrisnelder,2020-09-25 04:48:04,"@ChazTeplin This whole mess could be better optimized, but who's got time for optimization?",1,0
chrisnelder,2020-09-25 04:24:43,"Oh you know what Lindsey, thanks for the reminder. Time I made another contribution to @harrisonjaime. https://t.co/tMsIbpeB5v",21,2
chrisnelder,2020-09-25 04:07:46,"@joncooksey666 Somehow, that explains so much.",0,0
chrisnelder,2020-09-25 04:01:24,@aarontask I mean…good on them….  but I can’t read a single sentence of that without laughing,1,0
chrisnelder,2020-09-25 03:58:07,@DrChrisClack Well… I’ll admit to the working bit.,1,0
chrisnelder,2020-09-25 03:02:59,@JigarShahDC Er….,1,0
chrisnelder,2020-09-25 03:02:11,"@alexqgb Well, hot damn. But it sounds like no reinstallation of the collection boxes that were removed? Guess we’ll have to see. And they’re doing it on the QT of course. No public announcement.",0,0
chrisnelder,2020-09-25 01:55:53,@Arches_7392 @bradudall #FriendsofRandy representin’!,2,0
chrisnelder,2020-09-25 01:54:44,"@cleantechinv Ugh! We’re still doing fireworks, apparently. Started in June and never really stopped.",1,0
chrisnelder,2020-09-25 00:21:46,@Sammy_Roth @MarkOlalde What would Sonny Bono say?,0,0
chrisnelder,2020-09-25 00:14:38,"@hausfath @apoorv_bh89 Which is all fine and good from a policy standpoint… but from a modeling and forecasting standpoint, I really wish we could put just a modicum of work into 1.6, 1.7, 1.8, 1.9… or for that matter, RCP3.0, 3.1, 3.2, …",0,0
chrisnelder,2020-09-24 17:28:26,"@ElectricRoadmap NBD - it just made me laugh. You can't make me look pretty, so good effort and don't worry about it.",1,0
chrisnelder,2020-09-24 16:48:25,Captured me at my finest! 😆 https://t.co/TuSde6RvwS,28,1
chrisnelder,2020-09-24 16:13:20,"@AwsHenry @jgkoomey @yboulanger2 @TransitionShow @jritch I am too. Several of the messages in this thread didn't though, so they're mostly working...",1,0
chrisnelder,2020-09-24 16:10:09,"@AwsHenry @jgkoomey @yboulanger2 @TransitionShow @jritch No one should ever bring up RCP8.5 without apology, so thank you.",2,0
chrisnelder,2020-09-24 15:02:41,"@yboulanger2 @jgkoomey @AwsHenry @TransitionShow No need to rehash it now, but for the record, I differ with Jon on that point. Anyway, we have covered the RCP8.5 issue at length on @TransitionShow, starting with the original paper that launched the debate by our producer, @jritch, in Ep. 49. Then Ep. 51, 57, 112, 116, &amp; 117.",3,1
chrisnelder,2020-09-24 05:26:51,@BEVfanION @ECarsReport That makes sense. Thank you.,0,0
chrisnelder,2020-09-24 04:28:08,Live report from Denver protests tonight. https://t.co/ad9HPXrCeH,5,1
chrisnelder,2020-09-24 03:06:16,@kharmabum @EnergySRE @jack_kelly And just FYI - that was a pertinent question that I worked into the interview I did just now for @TransitionShow Ep. 134! So stay tuned for that.,3,0
chrisnelder,2020-09-23 23:07:46,"If there is any daylight between what he said here and ""Cancel the election and just anoint me dictator,"" I sure can't see it. https://t.co/w2pzOrSk5T",13,2
chrisnelder,2020-09-23 22:23:42,"@kharmabum @EnergySRE @jack_kelly AND we do need to create a lot of new tech to do things like DER aggregation and dispatching at a massive scale. So the answers come down to WHICH tech, not just more or less tech.",2,0
chrisnelder,2020-09-23 22:22:13,"@kharmabum @EnergySRE @jack_kelly A lot of misunderstandings can arise from a generalization like ""more tech"" or ""more R&amp;D."" All of the above are true. We do have technology to produce all the clean energy we need (and we do not need to wait for innovations like fusion reactors or perovskite solar)...",2,0
chrisnelder,2020-09-23 19:09:39,@alexqgb Oof!,0,0
chrisnelder,2020-09-23 18:56:10,@TomKloza 🤭,0,0
chrisnelder,2020-09-23 18:37:32,"@Cekent The Cali utilities have been leading in preparing for this, but I'd say that's more driven by the CPUC than by the business opportunity to meet new demand. Outside of Cali, utilities are much more on the back foot with transportation electrification than you might imagine.",0,0
chrisnelder,2020-09-23 18:18:59,Boom. https://t.co/PlmmpjcLO7,20,1
chrisnelder,2020-09-23 16:17:57,"@ECarsReport Blagojce, I'm confused about the ""11 kW onboard charger."" Does that use a special cable for, like, a dryer wall outlet, or does that mean 11 kW AC charging capability using an *external* 11 kW Level 2 charger? Because you can't get 11 kW out of a standard 110V wall outlet.",2,0
chrisnelder,2020-09-23 16:09:13,"@SimonMahan @cody_a_hill Well, exactly.",1,0
chrisnelder,2020-09-23 15:58:38,"@cody_a_hill I know just the guy to take the other side of that argument, if you're interested...",2,0
chrisnelder,2020-09-23 03:01:46,@trah @LoganGoldieScot @NuvveCorp Look back at Logan’s tweet again…,0,0
chrisnelder,2020-09-23 03:00:55,"@trah @LoganGoldieScot @NuvveCorp My point exactly. When people think “V2G” around here… that’s what they’re really thinking of: How can I use my Tesla to power my home when PG&amp;E shuts off the power due to a public safety power shutoff, or an overwhelmed grid.",0,0
chrisnelder,2020-09-23 02:51:28,"@trah @LoganGoldieScot @NuvveCorp Nuuve has been rewiring houses, adding automatic grid islanding disconnects, etc.?",0,0
chrisnelder,2020-09-23 01:24:24,@energyramblings @jtaggart09 @CostaSamaras But nobody is going anywhere so charging demand is way down...,0,0
chrisnelder,2020-09-23 01:18:30,@jtaggart09 @energyramblings @CostaSamaras Yeah me too,0,0
chrisnelder,2020-09-23 01:14:45,"@jtaggart09 @energyramblings @CostaSamaras A small hill that is eroding a little more, every day, partly because of flexible EV loads! Can’t take away credit for non-solar consumption without also awarding credit for demand pull on renewables!",1,0
chrisnelder,2020-09-23 00:52:22,"@energyramblings @jtaggart09 @CostaSamaras Anyway...it's a short-term problem... we're on the road to grid power decarbonization now, nothing will stop that, and when we get there, the question will be moot.",0,0
chrisnelder,2020-09-23 00:51:00,"@energyramblings @jtaggart09 @CostaSamaras In theory, yes. But how often would enough EVs at homes with rooftop solar do that such that it would cause a coal plant to ramp up? Even if you could show that happened (you couldn't) how would you make that information policy-relevant? Are you going to treat all loads that way?",0,0
chrisnelder,2020-09-23 00:28:53,"@jtaggart09 @energyramblings @CostaSamaras There’s no utility compensation for self-consumption, if that’s what you mean? But power would flow from the solar array to the car (if it were charging) and any other BTM appliances before it flowed out of the main panel and onto the grid….",1,0
chrisnelder,2020-09-22 23:50:00,"@tcurwin @LoganGoldieScot It depends on the house or building, of course, but I'd guess it's in the ballpark of $5k for an average house to island the house and then power some stuff with the car. (If your car could actually work that way. Most can't.)",0,0
chrisnelder,2020-09-22 23:36:58,"@tcurwin @LoganGoldieScot ...where the car is the ""plant?""",1,0
chrisnelder,2020-09-22 23:28:07,"@tcurwin @LoganGoldieScot What is ""BoP?"" 
Or maybe I should ask https://t.co/06nzrDSM2p",0,0
chrisnelder,2020-09-22 23:11:47,"@LoganGoldieScot That's not necessarily wrong... When thinking about V2G (or probably more accurately, V2H) they don't think about having to rewrite the house for critical load panels, switchgear, load management devices, etc.",2,0
chrisnelder,2020-09-22 22:19:09,"@CostaSamaras Wow, no cobalt? That's huge.",1,0
chrisnelder,2020-09-22 21:46:30,"@rohanspatel And Elon just said it: ""Tera is the new giga.""",1,0
chrisnelder,2020-09-22 19:47:57,"Love it. (Also, had to laugh at this correction, as any energy journalist who's slipped a decimal point now and again would: ""Great Britain’s current annual electricity demand is around 300 terawatt hours, not 3,000 as an earlier version said."") #teachtheunits https://t.co/eiEw1Of1cv",7,0
chrisnelder,2020-09-22 17:32:18,Critics agree: For a lousy $5/mo you too can become expert on #energytransition. All you have to do is listen! (And give us $5/mo.) https://t.co/o67Q45vlCs,17,2
chrisnelder,2020-09-22 17:29:48,@biostitute @Sammy_Roth Thank you! We appreciate your support!,1,0
chrisnelder,2020-09-22 17:00:11,@evchels Classic disconnect. LOL.,1,0
chrisnelder,2020-09-22 16:57:21,@evchels Is that a catenary arm on the top?,0,0
chrisnelder,2020-09-22 16:49:02,"@ErikwimDuring @Peters_Glen @nephologue @ProfSteveKeen @TransitionShow @KingsmillBond I know the type well. I do see commonalities between chartists / TA types and, e.g., investors in fracking companies (the ""marginal"" producers), and between fundies / value investors and long-term trend watchers (transitionistas).",0,0
chrisnelder,2020-09-22 16:07:11,@Peters_Glen @jgkoomey @KenCaldeira Good work Glen...somebody had to do it!,4,1
chrisnelder,2020-09-22 16:06:32,"@jgkoomey @Peters_Glen @KenCaldeira FWIW, I critiqued Smil's application of historical trends to the present in this 2013 article. https://t.co/jTFLR3qJ4K 
It's not a rigorous analysis but it points out the bias in his analysis.",4,1
chrisnelder,2020-09-22 14:33:54,"@mtwymanbrown @RabagoEnergy ""Will force the multi-market coordination issue with utilities/PUCs"" is doing a lot of heavy lifting here. IF that were to happen, it could take years--decades--and still not really produce the desired result. I see no reason why ISOs should be the target market.",2,0
chrisnelder,2020-09-22 14:27:45,@biostitute @Sammy_Roth Guh. It never ends. smh,0,0
chrisnelder,2020-09-22 01:15:47,"That would be a state with ""uncontrolled spread"" of the virus, for those keeping score at home. https://t.co/xnDArsjVFT",9,1
chrisnelder,2020-09-21 23:22:21,"So if you take out the blue states, as Rump likes to do, you have… mainly the states with uncontrolled spread? https://t.co/eTB8NifVED",4,0
chrisnelder,2020-09-21 21:57:14,@BryceJohanneck @RabagoEnergy I think you just leaped over space and time from a basic question about FERC policy *direction* to one about retail market design and implementation...but the world may catch up with you eventually.,3,0
chrisnelder,2020-09-21 19:26:28,"@RabagoEnergy Having discussed this issue with Lorenzo Kristov last week, I can tell you that he's got similar questions.",5,0
chrisnelder,2020-09-21 19:24:29,"As always, this was a great experience, even online. All state legislators and staff interested in #energytransition should definitely consider participating in @cce's Clean Energy Legislative Academy (CELA) next year! https://t.co/TeBy2OMZDE",0,0
chrisnelder,2020-09-21 19:05:03,"@NatBullard Well, count me as gruntled with your analysis.",0,0
chrisnelder,2020-09-21 19:03:45,"If you have half an hour to kill and want to hear me as an interviewee and not an interviewer about the state of the #energytransition, check out this interview from January. https://t.co/K5iDu8WnJg",6,0
chrisnelder,2020-09-21 19:02:20,@NatBullard I'm beginning to get the impression that you are less than impressed.,0,0
chrisnelder,2020-09-21 18:58:05,"@NatBullard OK, so it's more of a paper-clip sized pivot than a farming irrigation system sized pivot.",0,0
chrisnelder,2020-09-21 18:39:49,"@NatBullard Touche. OK, a very small player then.",0,0
chrisnelder,2020-09-21 18:13:27,"From a very cursory look at their website, looks like they have leasing rights on around 150,000 acres (~234 square miles). So they're small, but not trivial, and this would make a genuine (and rare) pivot for an O&amp;G player. https://t.co/x3Vh94Tokb",7,1
