date,value
1/1/1983,8634
2/1/1983,8660
3/1/1983,8677
4/1/1983,8686
5/1/1983,8682
6/1/1983,8676
7/1/1983,8647
8/1/1983,8653
9/1/1983,8666
10/1/1983,8654
11/1/1983,8624
12/1/1983,8612
1/1/1984,8659
2/1/1984,8726
3/1/1984,8718
4/1/1984,8688
5/1/1984,8753
6/1/1984,8743
7/1/1984,8769
8/1/1984,8781
9/1/1984,8759
10/1/1984,8847
11/1/1984,8846
12/1/1984,8797
1/1/1985,8929
2/1/1985,8928
3/1/1985,8927
4/1/1985,8842
5/1/1985,8969
6/1/1985,8965
7/1/1985,8904
8/1/1985,8895
9/1/1985,8874
10/1/1985,8943
11/1/1985,8932
12/1/1985,8930
1/1/1986,8942
2/1/1986,8939
3/1/1986,8939
4/1/1986,8815
5/1/1986,8805
6/1/1986,8792
7/1/1986,8737
8/1/1986,8708
9/1/1986,8671
10/1/1986,8773
11/1/1986,8321
12/1/1986,8348
1/1/1987,8354
2/1/1987,8383
3/1/1987,8336
4/1/1987,8361
5/1/1987,8296
6/1/1987,8303
7/1/1987,8287
8/1/1987,8204
9/1/1987,8162
10/1/1987,8281
11/1/1987,8283
12/1/1987,8348
1/1/1988,8395
2/1/1988,8353
3/1/1988,8306
4/1/1988,8269
5/1/1988,8240
6/1/1988,8210
7/1/1988,8189
8/1/1988,8128
9/1/1988,8147
10/1/1988,8085
11/1/1988,8026
12/1/1988,8035
1/1/1989,8021
2/1/1989,7965
3/1/1989,7921
4/1/1989,7880
5/1/1989,7843
6/1/1989,7726
7/1/1989,7622
8/1/1989,7662
9/1/1989,7641
10/1/1989,7644
11/1/1989,7601
12/1/1989,7565
1/1/1990,7512
2/1/1990,7399
3/1/1990,7411
4/1/1990,7310
5/1/1990,7241
6/1/1990,6981
7/1/1990,7130
8/1/1990,6971
9/1/1990,7041
10/1/1990,7329
11/1/1990,7235
12/1/1990,7559
1/1/1991,7219
2/1/1991,7415
3/1/1991,7383
4/1/1991,7346
5/1/1991,7323
6/1/1991,7377
7/1/1991,7355
8/1/1991,7274
9/1/1991,7365
10/1/1991,7384
11/1/1991,7226
12/1/1991,7449
1/1/1992,7357
2/1/1992,7365
3/1/1992,7283
4/1/1992,7238
5/1/1992,7219
6/1/1992,7194
7/1/1992,7059
8/1/1992,6678
9/1/1992,7049
10/1/1992,7041
