,price,price_p,price_u,uup_p,uup_u,prod_p,prod_u,rigcount_p,rigcount_u,HousingStarts_p,HousingStarts_u,daily_return
2020-01-21,58.34,0.6460253,0.0,0.63136387,0.0,0.69859153,0.0,0.6057798,0.0,0.7048365,0.0,-0.0008563110121595496
2020-01-22,56.74,0.64604485,1.0,0.6314682,1.0,0.6985914,-1.0,0.60578084,1.0,0.7048365,0.0,-0.02742543709290368
2020-01-23,55.59,0.6460563,1.0,0.6315414,1.0,0.69859123,-1.0,0.60578185,1.0,0.7048365,0.0,-0.02026788861473383
2020-01-24,54.19,0.64589715,1.0,0.6315744,1.0,0.69859105,-1.0,0.60578287,1.0,0.7048364,-1.0,-0.025184385680877996
2020-01-25,53.415,0.64552927,-1.0,0.63163936,1.0,0.6985909,-1.0,0.6057839,1.0,0.7048364,0.0,-0.014301531647905485
2020-01-26,52.64,0.6449307,-1.0,0.6317545,1.0,0.69859076,-1.0,0.6057849,1.0,0.7048364,0.0,-0.014509033043152653
2020-01-27,53.14,0.6441858,-1.0,0.6318924,1.0,0.6985906,-1.0,0.6057859,1.0,0.7048364,0.0,0.009498480243161023
2020-01-28,53.48,0.6433655,-1.0,0.63203394,1.0,0.6985904,-1.0,0.6057869,1.0,0.7048364,0.0,0.006398193451260692
2020-01-29,53.33,0.64265686,-1.0,0.63217074,1.0,0.6985902,-1.0,0.60578793,1.0,0.70483637,-1.0,-0.0028047868362004458
2020-01-30,52.14,0.64214563,-1.0,0.6322895,1.0,0.69859004,-1.0,0.60578895,1.0,0.70483637,0.0,-0.0223138946184136
2020-01-31,51.56,0.6418029,-1.0,0.63241446,1.0,0.69858986,-1.0,0.60578996,1.0,0.70483637,0.0,-0.011123897199846522
2020-02-01,51.285,0.6414659,-1.0,0.6324741,1.0,0.69858974,-1.0,0.605791,1.0,0.70483637,0.0,-0.005333591931730108
2020-02-02,51.01,0.6410936,-1.0,0.63240165,1.0,0.69858956,-1.0,0.605792,1.0,0.70483637,0.0,-0.005362191673978667
2020-02-03,50.11,0.6407049,-1.0,0.6322934,-1.0,0.6985894,-1.0,0.605793,1.0,0.70483637,0.0,-0.017643599294255963
2020-02-04,49.61,0.6403234,-1.0,0.6322251,-1.0,0.6985892,-1.0,0.60579395,1.0,0.70483637,0.0,-0.009978048293753705
2020-02-05,50.75,0.63989455,-1.0,0.63222283,-1.0,0.698589,-1.0,0.6057949,1.0,0.70483637,0.0,0.022979238056843432
2020-02-06,50.95,0.63943017,-1.0,0.6322869,-1.0,0.6985889,-1.0,0.60579574,1.0,0.70483637,0.0,0.003940886699507429
2020-02-07,50.32,0.6391239,-1.0,0.6324509,1.0,0.6985887,-1.0,0.60579646,1.0,0.7048364,1.0,-0.012365063788027486
2020-02-08,50.04,0.63898087,-1.0,0.63268757,1.0,0.6985886,-1.0,0.6057971,1.0,0.7048365,1.0,-0.005564387917329161
2020-02-09,49.76,0.63888466,-1.0,0.63296986,1.0,0.6985885,-1.0,0.6057976,1.0,0.70483655,1.0,-0.005595523581135131
